iter	RMSE
0	41.00967823
100	2.788355126
200	1.375102091
300	1.083254638
400	0.8372259964
500	0.6655160613
600	0.5475072919
700	0.4641114519
800	0.4013779034
900	0.3524743916
999	0.3179677459
